"","CAMIS","DBA","BUILDING","STREET","ADDRESS_Ext","lon","lat"
"1",30075445,"MORRIS PARK BAKE SHOP","1007","MORRIS PARK AVE","1007,MORRIS PARK AVE,New York, NY",-73.8560344,40.8484353
"2",30112340,"WENDY'S","469","FLATBUSH AVENUE","469,FLATBUSH AVENUE,New York, NY",-73.961721,40.6629144
"3",30191841,"DJ REYNOLDS PUB AND RESTAURANT","351","WEST   57 STREET","351,WEST   57 STREET,New York, NY",-73.984908,40.767777
"4",40356018,"RIVIERA CATERERS","2780","STILLWELL AVENUE","2780,STILLWELL AVENUE,New York, NY",-73.982429,40.5795186
"5",40356151,"BRUNOS ON THE BOULEVARD","8825","ASTORIA BOULEVARD","8825,ASTORIA BOULEVARD,New York, NY",-73.8803827,40.7643124
"6",40356483,"WILKEN'S FINE FOOD","7114","AVENUE U","7114,AVENUE U,New York, NY",-73.9068869,40.6199267
"7",40356731,"TASTE THE TROPICS ICE CREAM","1839","NOSTRAND AVENUE","1839,NOSTRAND AVENUE,New York, NY",-73.9483834,40.6408376
"8",40357217,"WILD ASIA","2300","SOUTHERN BOULEVARD","2300,SOUTHERN BOULEVARD,New York, NY",-73.8826342,40.8486123
"9",40359480,"1 EAST 66TH STREET KITCHEN","1","EAST   66 STREET","1,EAST   66 STREET,New York, NY",-73.9692691,40.7685235
"10",40359705,"NATHAN'S FAMOUS","1310","SURF AVENUE","1310,SURF AVENUE,New York, NY",-73.9814419,40.5752945
"11",40360045,"SEUDA FOODS","705","KINGS HIGHWAY","705,KINGS HIGHWAY,New York, NY",-73.9653944,40.6064353
"12",40360076,"CARVEL ICE CREAM","203","CHURCH AVENUE","203,CHURCH AVENUE,New York, NY",-73.9782049,40.6435286
"13",40361322,"CARVEL ICE CREAM","26515","HILLSIDE AVENUE","26515,HILLSIDE AVENUE,New York, NY",-73.7032606,40.7386137
"14",40361618,"SAL'S DELI","12908","20 AVENUE","12908,20 AVENUE,New York, NY",-73.8393218,40.7815398
"15",40361998,"STEVE CHU'S DELI & GROCERY","3406","10 STREET","3406,10 STREET,New York, NY",-73.9389611,40.7647791
"16",40362098,"HARRIET'S KITCHEN","502","AMSTERDAM AVENUE","502,AMSTERDAM AVENUE,New York, NY",-73.9760929,40.7866992
"17",40362264,"P & S DELI GROCERY","730","COLUMBUS AVENUE","730,COLUMBUS AVENUE,New York, NY",-73.9679887,40.7927409
"18",40362274,"ANGELIKA FILM CENTER","18","WEST HOUSTON STREET","18,WEST HOUSTON STREET,New York, NY",-73.9973541,40.7259225
"19",40362432,"HO MEI RESTAURANT","10305","37 AVENUE","10305,37 AVENUE,New York, NY",-73.8642043,40.7534356
