"","CAMIS","DBA","INSPECTION.DATE","GRADE","INSPECTION.TYPE","SCORE"
"1","30075445","MORRIS PARK BAKE SHOP","05/11/2018","A","Cycle Inspection / Initial Inspection",5
"2","30112340","WENDY'S","03/04/2019","A","Cycle Inspection / Initial Inspection",13
"3","30191841","DJ REYNOLDS PUB AND RESTAURANT","05/16/2018","A","Cycle Inspection / Initial Inspection",12
"4","40356018","RIVIERA CATERERS","10/30/2018","A","Cycle Inspection / Initial Inspection",10
"5","40356151","BRUNOS ON THE BOULEVARD","08/19/2017","A","Cycle Inspection / Initial Inspection",10
"6","40356483","WILKEN'S FINE FOOD","05/10/2018","A","Cycle Inspection / Initial Inspection",13
"7","40356731","TASTE THE TROPICS ICE CREAM","05/16/2018","A","Cycle Inspection / Initial Inspection",13
"8","40357217","WILD ASIA","05/31/2018","A","Cycle Inspection / Initial Inspection",5
"9","40359480","1 EAST 66TH STREET KITCHEN","09/28/2018","A","Cycle Inspection / Initial Inspection",7
"10","40359705","NATHAN'S FAMOUS","04/06/2019","A","Cycle Inspection / Initial Inspection",12
"11","40360045","SEUDA FOODS","11/27/2018","A","Cycle Inspection / Initial Inspection",3
"12","40360076","CARVEL ICE CREAM","03/20/2018","A","Cycle Inspection / Initial Inspection",13
"13","40361322","CARVEL ICE CREAM","03/19/2019","A","Cycle Inspection / Initial Inspection",4
"14","40361618","SAL'S DELI","06/05/2018","A","Cycle Inspection / Initial Inspection",11
"15","40361998","STEVE CHU'S DELI & GROCERY","07/18/2018","A","Cycle Inspection / Initial Inspection",5
"16","40362098","HARRIET'S KITCHEN","11/28/2018","B","Cycle Inspection / Re-inspection",19
"17","40362264","P & S DELI GROCERY","12/18/2018","A","Cycle Inspection / Re-inspection",12
"18","40362274","ANGELIKA FILM CENTER","01/02/2019","A","Cycle Inspection / Initial Inspection",10
"19","40362432","HO MEI RESTAURANT","02/07/2019","A","Cycle Inspection / Initial Inspection",12
"20","40362715","THE COUNTRY CAFE","01/04/2019","A","Cycle Inspection / Re-inspection",12
"21","40362869","SHASHEMENE INT'L RESTAURANT","04/28/2018","A","Cycle Inspection / Initial Inspection",11
"22","40363098","DUNKIN' DONUTS","12/10/2018","A","Cycle Inspection / Initial Inspection",12
"23","40363298","CAFE METRO","05/03/2018","A","Cycle Inspection / Initial Inspection",11
"24","40363426","LEXLER DELI","08/03/2018","A","Cycle Inspection / Initial Inspection",7
"25","40363427","BAGELS N BUNS","02/07/2019","A","Cycle Inspection / Re-inspection",12
"26","40363565","HOT BAGELS","08/08/2018","A","Cycle Inspection / Initial Inspection",12
"27","40363630","LORENZO & MARIA'S KITCHEN","11/14/2018","A","Cycle Inspection / Re-inspection",8
"28","40363685","BERKELEY","01/23/2019","A","Cycle Inspection / Initial Inspection",8
"29","40363744","SONNY'S HEROS","06/04/2018","A","Cycle Inspection / Initial Inspection",2
"30","40363834","CARVEL ICE CREAM","09/04/2018","A","Cycle Inspection / Initial Inspection",2
"31","40363920","NEW GOLDEN BILLION","01/31/2019","A","Cycle Inspection / Initial Inspection",2
"32","40363945","DOMINO'S","08/02/2018","A","Cycle Inspection / Initial Inspection",13
"33","40364149","AUNTIE ANNE'S PRETZELS","02/04/2019","A","Cycle Inspection / Initial Inspection",10
"34","40364179","SPOONBREAD TOO","12/27/2018","A","Cycle Inspection / Initial Inspection",11
"35","40364220","KOSHER BAGEL HOLE","11/28/2018","A","Cycle Inspection / Initial Inspection",10
"36","40364286","PLAZA BAGELS & DELI","06/13/2018","A","Cycle Inspection / Initial Inspection",9
"37","40364296","HAPPY GARDEN","05/02/2018","A","Cycle Inspection / Initial Inspection",12
"38","40364299","B & M HOT BAGEL & GROCERY","02/20/2019","A","Cycle Inspection / Initial Inspection",8
"39","40364305","PHILADELPHIA GRILLE EXPRESS","12/18/2018","A","Cycle Inspection / Initial Inspection",9
"40","40364335","PETER LUGER STEAKHOUSE","01/29/2019","A","Cycle Inspection / Initial Inspection",2
"41","40364347","METROPOLITAN CLUB","04/13/2018","A","Cycle Inspection / Initial Inspection",13
"42","40364362","21 CLUB","02/19/2019","A","Cycle Inspection / Re-inspection",12
"43","40364363","MANHEM CLUB","08/11/2018","A","Cycle Inspection / Initial Inspection",12
"44","40364373","ISLE OF CAPRI RESTURANT","10/23/2018","A","Cycle Inspection / Initial Inspection",11
"45","40364389","OLD TOWN BAR & RESTAURANT","10/11/2018","A","Cycle Inspection / Re-inspection",12
"46","40364404","POLISH NATIONAL HOME","04/06/2018","A","Cycle Inspection / Re-inspection",10
"47","40364439","SEVILLA RESTAURANT","11/09/2018","B","Cycle Inspection / Re-inspection",20
"48","40364443","CRIMINAL COURT BLDG CAFETERIA","12/13/2018","A","Cycle Inspection / Re-inspection",12
"49","40364449","GOTTSCHEER HALL","03/05/2019","A","Cycle Inspection / Re-inspection",12
"50","40364467","NYAC MAIN DINING ROOM","05/14/2018","A","Cycle Inspection / Initial Inspection",12
"51","40364518","7B BAR","11/26/2018","A","Cycle Inspection / Re-inspection",9
"52","40364531","CAFE ATELIER (ART STUDENTS LEAGUE)","07/06/2018","A","Cycle Inspection / Initial Inspection",4
"53","40364572","DONOHUE'S STEAK HOUSE","02/13/2019","A","Cycle Inspection / Initial Inspection",5
"54","40364576","TOUT VA BIEN","03/12/2019","B","Cycle Inspection / Re-inspection",23
"55","40364581","JUNIOR'S","01/24/2019","A","Cycle Inspection / Initial Inspection",12
"56","40364668","MARCHIS RESTAURANT","03/21/2019","A","Cycle Inspection / Initial Inspection",12
"57","40364681","TOWNE CAFE","04/03/2019","A","Cycle Inspection / Initial Inspection",9
"58","40364691","THE GEORGIAN SUITE KITCHEN","01/24/2019","A","Cycle Inspection / Initial Inspection",10
"59","40364715","OLD HOMESTEAD","09/12/2018","A","Cycle Inspection / Initial Inspection",13
"60","40364744","NEW PARK PIZZERIA & RESTAURANT","11/28/2018","A","Cycle Inspection / Initial Inspection",12
"61","40364858","DOUGLASTON CLUB","10/25/2018","A","Cycle Inspection / Initial Inspection",11
"62","40364920","RIZZO'S FINE PIZZA","01/26/2019","A","Cycle Inspection / Re-inspection",12
